INFO 2025-03-07 06:11:39,830 ecs_app 75 views 68856 13035925504 🔍 Searching for similar ECS mappings for: severity
DEBUG 2025-03-07 06:11:39,830 ecs_app 68 views 68856 13035925504 📡 Retrieving FAISS index...
INFO 2025-03-07 06:11:39,830 ecs_app 48 views 68856 13035925504 🔄 Initializing FAISS index...
DEBUG 2025-03-07 06:11:39,830 ecs_app 27 views 68856 13035925504 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 06:11:39,831 ecs_app 30 views 68856 13035925504 📋 Retrieved 1 mappings from the database.
DEBUG 2025-03-07 06:11:39,831 ecs_app 55 views 68856 13035925504 📊 Mappings from DB: [{'log_field': 'account_name', 'ecs_field': "'user.name'", 'embedding': b'\x80\x04\x95\x8f\x06\x00\x00\x00\x00\x00\x00\x8c\x16numpy._core.multiarray\x94\x8c\x0c_reconstruct\x94\x93\x94\x8c\x05numpy\x94\x8c\x07ndarray\x94\x93\x94K\x00\x85\x94C\x01b\x94\x87\x94R\x94(K\x01K\x01M\x80\x01\x86\x94h\x03\x8c\x05dtype\x94\x93\x94\x8c\x02f4\x94\x89\x88\x87\x94R\x94(K\x03\x8c\x01<\x94NNNJ\xff\xff\xff\xffJ\xff\xff\xff\xffK\x00t\x94b\x89B\x00\x06\x00\x00\xdc\xdf\x0c\xbd\xd3SG\xbc\xcd\x06\xa9\xbd\xa4\x18\xc7\xbb"Qj\xbd\x9bo2\xbdV4#>b\xa9Z;\xda\x03\xa1\xbcV\xe9\x7f\xbd\xd6\x96`;T\x00\xa9\xbd\xa2\x91q=\xb0\xad\x86\xbd\xb1sa\xbc\xdb\xce\xcd<\'\xd4\x8a\xbdy\nh=`\x84\xa0<\xe0No\xbd\xe8\xf17\xbc\x1b\xf2\xba\xbb\x9f\x92\x0e\xbdE\xec$=Z.A=\xb6\xd8\xf5\xbc\x08\xb69\xbdR\xdc\xaf=pa\x86\xbd\xdfp\x14\xbdp\xf7\x87=\xd5\xcf>\xbd\\\xb2\\\xbcF\x8d\xbc\xbb\x8fZ\x9f\xbb\xc0d\xb7\xbc\xba\x86c\xbd"\xa3N\xbc\xcfS\xe5;($\xbf\xbd\xe3\x97k\xbd[3w\xbdu?)\xbd@4x<\xf5\xfc\x9a\xbde\xe1\xa3=\x94@\x9d<\x1dW\n=\xe9\xf1R=\x8c;[<\xb1~\x96\xbcj\xcd\xac\xbd6\x90\xad\xbc\xc6\xf0o\xbc\x96\xed\xe0\xbc\x0fY\xe8<\xaf\x9e\xdd\xbbs\xa9\xfa\xbc\x05\xf9f\xbd\x05\xe6\x03=T]\xc3\xbc\x1d\xe90<\xf8\x1bI\xbcS\x91\xd8<j\xd4\xb0\xbdt4\x8d;AC\xc4\xbd\xbd\xe9\x1a=\xb8\xe3>=Wi\xd2;\\\xdd\xd6\xbc\xe9e\x9a;$$\xad\xbd\xb0\x9f\xc0\xbcOC\x13=\xde\xb9=\xbd\x99\x8c\xab<A\xaf\xfa\xb9Cx\x10\xbd\x92\x1f\x99=\xd9G\xdf\xbc\xb5]\xb7<{\x9cF\xbdi\xf9\xfa\xbb\x07\x02\xf6<\xcf\x1dB=I\xd2:\xbc\x0e\xfdS\xbd\x94\x10\x84\xbdv\xb0k\xbd\xf6?\xb1<\r\x9d\x9d<-V\xb1=\xfe\x1b\xc7\xbc\x0bJ\x19\xbc&$\x88;\x9d\x0b\xa7<)\x8e\xa5\xbc\xe2\xc3\xde\xbc\x8c\xd5\xfc=L\xe7\xb0\xbc&$v<\xf6\x92\x0e<\xa1\x9d\x9a=\x04\x8a\x88<\xf7\x08\xfc<",\xb9=H\xef\xaa\xbc\xd2\xc2\x15<\x03Rd\xbdJ\x071\xbd\xa0V\xa29S>\xc4\xbc\x93\xc1Y\xbb-\xd3\x98=\x9c1\xbb<\x15\xd9\x17\xbd>zX=T7\xf3<\x18K\x99<6\xde\xf0=^\x1d\xe5;\xea\x90!\xbd\xdc\x80\xbd\xbc`jB\xbd\x94\x9c\xfd\xbc\x10L\x02=\xa3]\x9a\x89\xc9\xc3;\xbc\x9e8\x95=\xf5m\x92\xb9\x96{\x10=Y\xfa\xf8\xbcT\x9e0=oj\x1a\xbd\xd3f\xe6<m\xd5\xcb\xbc\xa0c\x8a=\xec\xfb;=\x90t\xa1\xbc\x9d~\xdf<\x8b\xfa}:yj\xb8;\xd2i\xfe;K\xb5\xb8<\x999~=\xa4\x08\x89=\x81\x8fw=\xb7\xb0\x1c\xbd\xc0$\r\xbc\xa8\xde\x07;L\x02\xb3=\x84\xedL=\xd5\xaa\x10\xbc\x8d\xe0\x14\xbc\xcc^\xcf<\x10\x8eJ<\x84\x06\xc7\xbar\x7f\x82\xbd\x17n\xe8\xbc\xe7\xe6\x9d;b\x8e\xc9\xbc[O\xc8=\xf9\xc7\xc4<{\x0e\xd6<S\xf1\xae\xbcc\x0eD\xbd[\xa20=X\x06\x89=5\xb4E=\xf8e\xb5\xbc\xf7\xe6D<w\xa9y\xbd\xe4\x18\x8c=\xa4,\x80=9:d=\xbcf\x02=F\xf2\xc7\xbbR\x826\xbc\xdf\x07\t\xbcB>\xf6\xbd\xe1\x111=IdB\xbd\x92n8\xbc\xba\x84\r\xbdZ\xec,<\xf2\xfa\x83\xbdM\x87\xdf\xbd\xeb\x84a=/\x0c\x8a\xbd-5\\\xbd\x7f\xecU<\xeeg\x85\xbdW/\xa9\xbd\xc3\xdfR=&nz\xbb\x1c\xcc\xca<i\xafi=b]P\xbd4)\x08=9\x05\x93\xbd\xe4&\x18=\x96\xbe/\xbd\x11I-\xbc\xa3\xd6\xc6\xbb\xd7\xc9|\xbb\x7fr^\xbd"\xfa\r>\xca\xd0\xb3\xbc\xef\xd4\xd4\xbbS\xf9\xfe\xbd\xdf\xfeM<"y\x89\xbd\xbe[\xb0=\x8d\x17#=Y\xb4/\xbd\xae\x08l\xbd\x87\x01O\xbd\xdb\x15\xdf\xbdH>\xf0;\x96\xc9>=/\x8fj=\xf2\xc6\xba\xbdf}@\x08\xbf\x1a\x17\xbd\xe5\xf1\xcd\xbdN6\xcf\xbb\xd0HV\xbd\xbbkH<Q\x0f\x0c\xbb\x9e\xc5">\xfa\x1e\x8f=\x02\x0f0\xbd\xdf\x84t<\x16\xf9L<?\x13\x1d\xbc\xe8 79\x8d\xe1\x1d\xbbsyH>\xf2\x01\xde;\xba\xa2X\xbd\x8d\x19\xfd\xbb\xaf\xe7\x82\xbd\xd8\xc3\x10\xbd\xdf\xe1\xae\xbd\xd1\xb6\xca=\xdeT\x10=\xd5\xc31\xbd\xd2\xe7\xee\xbb\xb0\xe6\x03\xbd<\xe1I=\x0f\xf2I<5\x08h\xbc\xb0\x92\x84;\x8cC\xad<o\xd8\xf5<\x98\xf9\xd2\xbc\xb5?\xfe=uW\xb2\xbd_g1\xbdx\xb0\xbc;\xe0\x05\x08\xbc\x0c~\xbd<\xe4G\xc7\xbca\x88\xa2=?E\xa2=\x9fT\x16=Q\xba\x9d;i\xb7(\xbd\x9az\x84<{\xab{<s\xd9\x88<\xc1~\x12=\x9a"\xa2=\x93)L\xbd\x82\x0b\xe0\xbd\xf2\xe6\xcc\xbc<I\x97\xbc\x9e\xe9\xf0<V\xc9\xc2<\xf36\xc6=\xc74\x90\xbc\xbf\x15\xa8=\xff\x1c\x8e\xbd\xfd\x04\x85\xbd\x1f\xd5\x85=Q/\x89\xbc\xa7\xf4\xed=t\xda\xd1\xbc\xc9\x8c\xbc\xbc\xbd\x99h\xbda\xf86\xbc\xc6\xf2c=\xfd6\x1d\xbdo\xc7=:\xf1\x8cG\xbd\x91\x96\xe8\xbc\xd7~\x14=\x08_\x99\xbdUI\x00=\xac\xe0M\xbd4\xa0\xca<\x03t^\xbd\x90\xd9*=\xcf\x8c\x01\xbd\xcd\xfb\xab=\xa1\x0e\x02\xbd<\xa6\x92\xbb?\x8e\xbd\xbc\xce\x86\xbf\xbd\xc9^\xf7<\x11?\xe4<\xf7\x8a\x03\xbd\xdb\xf7r\xbb\tx\x97=\x9a$\xc0\xbc\xdc\x1d\xa3<\xfe\xb3\xfa\xbc\xd3W\xa1\xbdr\xf8{\xb2^\x88\x15=\xd6J\xdf\xbc!}\x07>cl\x92=\xa6=\x83<\xfc\xa7\\=\xaeSD<t\xd2\x1c\xbdk\x8f\xa4<\xf1O|=\xaa\xd0\xba<I\x13\x03=\x87\x83\x93<\t%K<k#\xa8\xbc\x98+\xda\xbcT\x18\r\xbdY"\x9f=(%\x83<.q\x85<$\xdb5\xbd\x87Z\x97<\\\x00c<wg\xb2\xbdzq\xcd\xbcnu\x91<z\xb7V\xbd?\xfa\xe7=\x87s=\xbd(`\x8a\xbdc\xb4R=8X\x93=\x1b\x95\xad<\xaf\x9cx\xbc\x85\xf7\xa8<X\x00\n=K\x8f\xc3\xbcb\xca\x11=PK\xb2\xbc\x89\xf2G\xbb:3\x1a\xbd\x8b\x06W<\xe5\x03!>\x85\xb3\x97\xbc_\xc9,\xbdQ\xf2\xf1\xbc\x92.\x9f\xbc\xa4\x99\xdc\xbc\xc7Z\xff=Y\x9au\xbc\x11\xbd\x8c\xbd\xdf\xc0\x83<y\xafw=M1_=\x13\x11<\xbd\x8e\x85\x14\xbd\x02\x89\xf0;\xb7\xddL=y\xc1\x9a\xbd?z\x1f\xbd\x07i\x06=\x05]v=E\x8b\xac<\x10\xd9\xb2\xbc\x94t\x94b.', 'description': None, 'example_log_values': None}]
INFO 2025-03-07 06:11:39,834 ecs_app 62 views 68856 13035925504 ✅ FAISS index initialized with 1 entries.
DEBUG 2025-03-07 06:11:39,931 ecs_app 27 views 68856 13035925504 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 06:11:39,931 ecs_app 30 views 68856 13035925504 📋 Retrieved 1 mappings from the database.
DEBUG 2025-03-07 06:11:39,939 ecs_app 98 views 68856 13035925504 🟢 FAISS Match: account_name -> 'user.name' (Similarity: 0.34)
